epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,32072,0.01823,1.48931,1.93989,0.63963,0.50926,0.54532,0.33956,0.01793,1.75459,1.97196,0.00544,0.00544,0.00544
154,32281.4,0.01819,1.48433,1.93334,0.63939,0.50896,0.54507,0.33935,0.01793,1.75494,1.97201,0.00541,0.00541,0.00541
155,32491.1,0.01823,1.49011,1.93637,0.63943,0.50989,0.54543,0.33985,0.01793,1.75547,1.97209,0.00538,0.00538,0.00538
156,32700.6,0.01814,1.47788,1.93658,0.6348,0.51084,0.54551,0.34003,0.01793,1.75463,1.97209,0.00535,0.00535,0.00535
157,32910.6,0.01819,1.4801,1.93576,0.63637,0.51092,0.54567,0.34008,0.01793,1.75469,1.97194,0.00532,0.00532,0.00532
158,33120,0.01812,1.47391,1.9328,0.6354,0.51234,0.54556,0.34009,0.01793,1.75519,1.97188,0.00529,0.00529,0.00529
159,33329.4,0.0181,1.46607,1.9332,0.6386,0.51119,0.54581,0.34025,0.01793,1.75582,1.97191,0.00526,0.00526,0.00526
160,33538.6,0.01808,1.46387,1.93827,0.63861,0.5107,0.54585,0.34041,0.01793,1.75557,1.97198,0.00523,0.00523,0.00523
161,33747.6,0.01811,1.46799,1.93741,0.64131,0.5097,0.5464,0.34056,0.01793,1.75555,1.97204,0.0052,0.0052,0.0052
162,33957,0.018,1.45442,1.93157,0.63985,0.51036,0.54597,0.34029,0.01793,1.75575,1.97208,0.00517,0.00517,0.00517
163,34166.1,0.01798,1.44954,1.93329,0.63923,0.51098,0.54597,0.34032,0.01792,1.75595,1.97187,0.00514,0.00514,0.00514
164,34375.4,0.01806,1.44957,1.93499,0.63783,0.51164,0.54595,0.34037,0.01792,1.7563,1.9718,0.00511,0.00511,0.00511
165,34584.8,0.0181,1.45505,1.93088,0.63655,0.51252,0.54604,0.34058,0.01792,1.75618,1.97193,0.00508,0.00508,0.00508
166,34794.7,0.01799,1.44468,1.9355,0.63518,0.51333,0.54585,0.34037,0.01792,1.75604,1.97192,0.00505,0.00505,0.00505
167,35004.4,0.01795,1.44387,1.93254,0.63338,0.51364,0.54593,0.34045,0.01791,1.7563,1.97174,0.00502,0.00502,0.00502
168,35213.6,0.01817,1.46043,1.93481,0.63305,0.51281,0.54583,0.34028,0.01791,1.75629,1.97175,0.00499,0.00499,0.00499
169,35423.2,0.01802,1.4421,1.93228,0.63197,0.51324,0.54607,0.34038,0.01791,1.75666,1.97162,0.00496,0.00496,0.00496
170,35632.6,0.01799,1.43874,1.93141,0.63395,0.51272,0.54617,0.34036,0.01791,1.75711,1.97158,0.00493,0.00493,0.00493
171,35842.9,0.01804,1.43976,1.9283,0.63225,0.51424,0.54639,0.34051,0.01791,1.75719,1.97161,0.0049,0.0049,0.0049
172,36052.5,0.01799,1.43854,1.92837,0.63149,0.5157,0.54616,0.34024,0.01791,1.75709,1.97172,0.00487,0.00487,0.00487
173,36261.9,0.01799,1.43922,1.93143,0.63704,0.51265,0.54625,0.34021,0.01791,1.75796,1.97165,0.00484,0.00484,0.00484
174,36471.4,0.01788,1.42165,1.92743,0.63568,0.51363,0.5462,0.34018,0.0179,1.7584,1.97144,0.00481,0.00481,0.00481
175,36680.4,0.01794,1.42471,1.92606,0.63458,0.5136,0.54585,0.34017,0.0179,1.75827,1.97148,0.00478,0.00478,0.00478
176,36889.8,0.01791,1.41592,1.9257,0.63419,0.51365,0.54605,0.34044,0.0179,1.75857,1.97142,0.00475,0.00475,0.00475
177,37099,0.01793,1.42573,1.92478,0.63457,0.51413,0.54562,0.34005,0.0179,1.75872,1.97144,0.00472,0.00472,0.00472
178,37308.2,0.01794,1.42201,1.92772,0.6359,0.51291,0.54586,0.34016,0.0179,1.75884,1.97157,0.00469,0.00469,0.00469
179,37517.9,0.01795,1.41925,1.92511,0.63701,0.51246,0.54558,0.3399,0.01789,1.76004,1.97138,0.00466,0.00466,0.00466
180,37727.5,0.01803,1.42058,1.92452,0.63817,0.51242,0.54571,0.34003,0.0179,1.75943,1.97163,0.00463,0.00463,0.00463
181,37937.6,0.01787,1.40761,1.92429,0.63844,0.51267,0.54573,0.34007,0.0179,1.75968,1.97182,0.0046,0.0046,0.0046
182,38147.2,0.0179,1.41069,1.9236,0.63654,0.51315,0.54564,0.3402,0.01789,1.76012,1.97186,0.00457,0.00457,0.00457
183,38356.7,0.01782,1.39849,1.92402,0.63589,0.51415,0.54557,0.3401,0.0179,1.76022,1.97193,0.00454,0.00454,0.00454
184,38565.9,0.01784,1.39958,1.92141,0.63525,0.51393,0.54547,0.34002,0.01789,1.76037,1.97193,0.00451,0.00451,0.00451
185,38775.2,0.01786,1.39843,1.91998,0.63668,0.51428,0.54562,0.33999,0.01789,1.76029,1.97185,0.00448,0.00448,0.00448
186,38984.8,0.01787,1.40482,1.92397,0.63917,0.51306,0.54571,0.34015,0.0179,1.76024,1.97197,0.00445,0.00445,0.00445
187,39193.9,0.01788,1.396,1.92135,0.6397,0.51271,0.5458,0.33997,0.0179,1.76096,1.97188,0.00442,0.00442,0.00442
188,39403.3,0.0178,1.3905,1.92366,0.63993,0.51316,0.54602,0.34021,0.0179,1.76054,1.97205,0.00439,0.00439,0.00439
