epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,3229.15,0.01538,1.11868,1.04004,0.54124,0.31957,0.3295,0.10974,0.01668,1.38295,1.09666,0.00628,0.00628,0.00628
126,3254.86,0.01521,1.09786,1.01922,0.54381,0.30967,0.32108,0.1065,0.01698,1.38158,1.09797,0.00625,0.00625,0.00625
127,3280.63,0.01549,1.13614,1.03999,0.54077,0.32277,0.3299,0.11123,0.01661,1.33936,1.10568,0.00622,0.00622,0.00622
128,3306.28,0.01519,1.11697,1.02064,0.54552,0.31893,0.33386,0.11306,0.01659,1.37993,1.11049,0.00619,0.00619,0.00619
129,3332.2,0.01487,1.06533,1.0326,0.54623,0.31629,0.33267,0.11143,0.01665,1.39479,1.10374,0.00616,0.00616,0.00616
130,3357.98,0.01495,1.05905,1.02312,0.54269,0.30461,0.31539,0.10318,0.01704,1.42172,1.12481,0.00613,0.00613,0.00613
131,3383.71,0.01511,1.09749,1.03388,0.55109,0.32503,0.33142,0.10884,0.01678,1.3477,1.11119,0.0061,0.0061,0.0061
132,3409.42,0.01516,1.09352,1.02104,0.53781,0.32002,0.32988,0.11101,0.01676,1.4004,1.11023,0.00607,0.00607,0.00607
133,3435.16,0.01519,1.09737,1.02865,0.54332,0.31128,0.31706,0.10589,0.01681,1.38944,1.11147,0.00604,0.00604,0.00604
134,3460.96,0.01524,1.1047,1.04134,0.55108,0.32733,0.33403,0.11236,0.01655,1.36582,1.09803,0.00601,0.00601,0.00601
135,3486.62,0.01519,1.09712,1.0189,0.53773,0.31817,0.33117,0.1122,0.0167,1.37417,1.10715,0.00598,0.00598,0.00598
136,3512.3,0.01514,1.08143,1.02131,0.53468,0.32039,0.33014,0.10981,0.01676,1.42372,1.09677,0.00595,0.00595,0.00595
137,3538.06,0.01474,1.05187,1.00706,0.53616,0.3192,0.32336,0.10806,0.01666,1.3771,1.11158,0.00592,0.00592,0.00592
138,3563.69,0.01492,1.06697,1.03581,0.5437,0.31517,0.33384,0.11248,0.01671,1.34818,1.11046,0.00589,0.00589,0.00589
139,3589.41,0.015,1.06705,1.02603,0.54402,0.32643,0.33889,0.11348,0.0167,1.35559,1.10631,0.00586,0.00586,0.00586
140,3615.07,0.01515,1.08275,1.02926,0.5251,0.29825,0.31477,0.10515,0.01697,1.40344,1.11019,0.00583,0.00583,0.00583
141,3640.71,0.01492,1.06266,1.03392,0.54696,0.32458,0.34029,0.11454,0.01668,1.35363,1.1018,0.0058,0.0058,0.0058
142,3666.56,0.01504,1.07371,1.02505,0.54494,0.31867,0.32564,0.10883,0.01673,1.37961,1.1061,0.00577,0.00577,0.00577
143,3692.43,0.01487,1.06079,1.02391,0.54332,0.32302,0.32583,0.10926,0.01656,1.36998,1.11029,0.00574,0.00574,0.00574
144,3718.26,0.01506,1.07661,1.01799,0.5452,0.32725,0.34237,0.11434,0.01665,1.35342,1.11198,0.00571,0.00571,0.00571
145,3744.15,0.01501,1.0728,1.01335,0.53819,0.31075,0.31857,0.10549,0.01701,1.39621,1.11471,0.00568,0.00568,0.00568
146,3769.95,0.01477,1.0491,1.02683,0.54185,0.32549,0.33317,0.11076,0.01682,1.36197,1.11334,0.00565,0.00565,0.00565
147,3795.75,0.01474,1.04343,1.0109,0.55239,0.32023,0.32942,0.10881,0.01668,1.37797,1.1012,0.00562,0.00562,0.00562
148,3821.6,0.01459,1.03206,1.01116,0.55474,0.33079,0.34669,0.11677,0.01642,1.31739,1.11253,0.00559,0.00559,0.00559
149,3847.38,0.01476,1.04069,1.00796,0.54408,0.32175,0.33047,0.10995,0.01675,1.33275,1.11154,0.00556,0.00556,0.00556
150,3873.14,0.01479,1.0244,1.00515,0.53593,0.31817,0.32957,0.10832,0.0169,1.39663,1.11047,0.00553,0.00553,0.00553
151,3898.98,0.01498,1.05746,1.01136,0.54783,0.32717,0.3463,0.11647,0.01658,1.32426,1.11551,0.0055,0.0055,0.0055
152,3924.8,0.01449,1.02879,1.00746,0.55205,0.32392,0.33579,0.11133,0.01674,1.37619,1.10626,0.00547,0.00547,0.00547
153,3950.61,0.01474,1.04732,1.01462,0.54862,0.32789,0.34369,0.11379,0.01665,1.34147,1.11233,0.00544,0.00544,0.00544
154,3976.41,0.01443,1.01036,0.99302,0.54119,0.33057,0.34525,0.1164,0.01656,1.36129,1.1126,0.00541,0.00541,0.00541
155,4002.09,0.01433,1.00803,1.01775,0.53706,0.32388,0.33686,0.11328,0.01695,1.38125,1.11794,0.00538,0.00538,0.00538
156,4027.75,0.01439,1.01367,1.01329,0.5476,0.32277,0.33919,0.11394,0.01677,1.35857,1.1201,0.00535,0.00535,0.00535
157,4053.54,0.01463,1.03632,1.00271,0.53494,0.31398,0.32172,0.10632,0.01692,1.38116,1.1214,0.00532,0.00532,0.00532
158,4079.33,0.01445,1.02383,1.00591,0.54934,0.32744,0.34094,0.11417,0.0168,1.37483,1.11289,0.00529,0.00529,0.00529
